iso2c,country,year,FP.CPI.TOTL.ZG,FR.INR.RINR,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NY.GNS.ICTR.ZS,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SL.TLF.CACT.FE.ZS,SG.GEN.PARL.ZS,SP.ADO.TFRT,SH.DYN.MORT,SH.STA.MMRT,SI.POV.DDAY,SE.XPD.TOTL.GD.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,EG.FEC.RNEW.ZS,SP.POP.GROW,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS
BR,Brazil,2000,7.04414105947266,48.5047281831843,9.56099987030029,18.90311926897,14.2044422038462,9050.49404752227,8810,70.116,49.4790000915527,5.65302144249513,82.21,34.7,69,NA,3.94893002510071,94.391716003418,1.79454998368073,1897.3531483339,42.66,1.42416744229362,18.808,81.192
BR,Brazil,2001,6.84035902487525,45.6378187168126,9.60999965667725,18.7418602932515,13.3936112803473,9255.63475922544,8940,70.462,50.8380012512207,6.82261208576998,81.526,32.5,68,13,3.84468007087708,96.0165252685547,1.8024103708722,1747.93963100227,41.33,1.36695595542708,18.447,81.553
BR,Brazil,2002,8.4501643770833,48.3404374497978,9.36999988555908,17.4490794845036,15.2851621574432,9560.57506674847,9230,70.813,52.1910018920898,6.23781676413255,80.842,30.4,69,11.7,3.75037002563477,96.6529922485352,1.76988077175168,1806.66968430883,42.85,1.31274754952678,18.12,81.88
BR,Brazil,2003,14.7149197228147,46.447398837078,9.98999977111816,16.8566883977988,16.3427361565958,9737.27737950327,9420,71.17,52.4420013427734,8.57699805068226,78.904,28.4,70,12.6,NA,96.980094909668,1.70953902409161,1882.2640283351,45.11,1.25737996705435,17.797,82.203
BR,Brazil,2004,6.59718509985962,43.7791527215815,9.10999965667725,17.912568341939,18.805225301241,10448.3133354162,10130,71.531,53.5149993896484,8.57699805068226,76.966,26.5,71,11.1,3.97447991371155,96.7651062011719,1.78537185646421,1956.1593806705,45.18,1.20129414101631,17.479,82.521
BR,Brazil,2005,6.86953720898965,44.6351688608229,9.56999969482422,17.2048834643899,18.1389433081037,10994.3076723666,10680,71.896,54.6180000305176,8.57699805068226,75.028,24.8,71,10,4.47908020019531,97.0935134887695,1.78206176416498,2015.79986940967,46.13,1.14588477164177,17.166,82.834
BR,Brazil,2006,4.18356812896902,41.2403264527182,8.64000034332275,17.816473927358,18.4759195581657,11654.82481448,11370,72.26,54.3680000305176,8.7719298245614,73.09,23.2,72,8.3,4.87060022354126,97.5943145751953,1.78362500065135,2072.36268025729,46.67,1.09019257285986,16.857,83.143
BR,Brazil,2007,3.64127299102654,35.0225154667512,8.32999992370605,19.8193259911077,19.3947432570891,12565.261396892,12300,72.618,54.1720008850098,8.96686159844054,71.152,21.8,71,7.9,4.97425985336304,98.1253814697266,1.85430585595376,2167.60656085352,47.19,1.03786468320243,16.552,83.448
BR,Brazil,2008,5.67859390284171,35.3667577983698,7.34000015258789,21.6193828308962,19.2137167495658,13325.4728447192,13000,72.966,53.8720016479492,8.96686159844054,69.7322,20.6,70,6.5,5.26883983612061,98.5266265869141,1.94568192754234,2229.84529915118,47.04,0.994310571973971,16.251,83.749
BR,Brazil,2009,4.88803479876804,34.7920096326063,8.52000045776367,18.7961350771854,16.4945722497417,13265.7850673626,12990,73.3,54.3250007629395,8.7719298245614,68.3124,19.5,69,6.1,5.46355009078979,98.8569412231445,1.80517978804146,2197.12558127756,48.92,0.961946715342144,15.956,84.044
