iso2c,year,total_population,population_change,births,deaths
BR,1950,53151.9,2.978,2504.882,934.07
BR,1951,54758.819,2.994,2576.616,949.351
BR,1952,56423.296,3.003,2645.659,960.045
BR,1953,58143.38,2.99,2715.617,974.8
BR,1954,59907.977,3.024,2786.527,981.215
BR,1955,61747.204,3.043,2856.791,989.916
BR,1956,63654.857,3.063,2927.55,997.779
BR,1957,65634.916,3.078,2999.904,1006.223
BR,1958,67686.868,3.053,3070.73,1014.15
BR,1959,69784.984,3.092,3139.942,1018.467
BR,1960,71976.656,3.054,3205.265,1024.95
BR,1961,74208.374,2.978,3272.231,1029.326
BR,1962,76451.643,2.958,3325.058,1032.289
BR,1963,78746.793,2.925,3370.877,1035.187
BR,1964,81084.317,2.865,3392.467,1038.312
BR,1965,83441.271,2.795,3393.731,1039.012
BR,1966,85806.224,2.697,3394.083,1040.999
BR,1967,88152.342,2.622,3383.691,1041.528
BR,1968,90494.234,2.542,3375.598,1039.509
BR,1969,92824.258,2.503,3397.154,1039.87
BR,1970,95176.504,2.477,3433.41,1042.815
BR,1971,97563.246,2.436,3466.644,1046.557
BR,1972,99969.33,2.421,3505.837,1049.218
BR,1973,102419.457,2.407,3551.78,1053.064
BR,1974,104914.351,2.361,3569.444,1056.911
BR,1975,107420.393,2.355,3627.405,1059.368
BR,1976,109980.637,2.347,3692.372,1065.005
BR,1977,112592.372,2.365,3756.437,1070.203
BR,1978,115287.4,2.361,3820.013,1073.698
BR,1979,118041.364,2.354,3877.629,1073.778
BR,1980,120853.243,2.347,3931.964,1073.639
BR,1981,123723.522,2.308,3975.385,1071.389
BR,1982,126612.597,2.268,3997.827,1069.02
BR,1983,129517.592,2.229,4005.389,1067.947
BR,1984,132437.148,2.168,3990.656,1067.176
BR,1985,135340.402,2.11,3965.476,1066.387
BR,1986,138225.959,2.03,3922.677,1063.459
BR,1987,141060.751,1.973,3894.365,1060.998
BR,1988,143871.778,1.903,3837.396,1061.7
BR,1989,146636.169,1.848,3797.734,1060.454
BR,1990,149370.653,1.773,3743.708,1078.578
BR,1991,152042.239,1.688,3702.867,1083.804
BR,1992,154630.65,1.629,3644.158,1083.595
BR,1993,157170.929,1.603,3647.974,1086.137
BR,1994,159710.821,1.577,3636.014,1085.065
BR,1995,162250.123,1.548,3649.91,1093.164
BR,1996,164780.532,1.514,3627.362,1089.847
BR,1997,167293.713,1.487,3620.076,1093.661
BR,1998,169799.701,1.45,3602.19,1099.585
BR,1999,172279.906,1.391,3546.785,1107.868
BR,2000,174692.656,1.343,3489.128,1125.256
BR,2001,177054.783,1.299,3433.869,1123.125
BR,2002,179368.98,1.228,3351.52,1142.124
BR,2003,181584.391,1.144,3259.436,1152.752
BR,2004,183674.165,1.135,3257.137,1155.996
BR,2005,185769.921,1.1,3238.499,1140.735
BR,2006,187824.746,1.055,3182.01,1156.144
BR,2007,189816.618,1.009,3123.429,1167.42
BR,2008,191742.287,0.965,3071.834,1176.4
BR,2009,193602.347,0.941,3057.083,1197.32
BR,2010,195432.75,0.938,3041.789,1217.149
BR,2011,197274.234,0.919,3033.63,1245.125
BR,2012,199096.37,0.881,2986.828,1267.614
BR,2013,200859.043,0.855,2962.857,1272.713
BR,2014,202584.491,0.86,3001.591,1276.208
BR,2015,204334.81,0.832,3021.946,1319.93
BR,2016,206041.6,0.791,2905.301,1351.923
BR,2017,207677.556,0.794,2952.133,1353.694
BR,2018,209332.364,0.794,2969.862,1369.336
BR,2019,211000.821,0.739,2886.359,1391.436
BR,2020,212564.935,0.592,2787.294,1581.43
BR,2021,213827.672,0.465,2760.958,1784.239
BR,2022,214824.774,0.454,2723.266,1752.232
BR,2023,215802.222,0.573,2699.785,1465.348
BR,2024,217042.67,0.546,2676.826,1493.566
BR,2025,218231.924,0.522,2658.092,1521.822
BR,2026,219374.192,0.503,2649.944,1550.041
BR,2027,220480.096,0.473,2617.828,1579.35
BR,2028,221524.57,0.449,2598.402,1608.345
BR,2029,222520.524,0.421,2571.891,1638.278
BR,2030,223459.269,0.402,2564.251,1668.854
BR,2031,224358.668,0.373,2537.56,1701.244
BR,2032,225197.844,0.347,2515.304,1734.033
BR,2033,225981.231,0.324,2498.252,1767.904
BR,2034,226713.573,0.299,2479.11,1801.622
BR,2035,227393.064,0.274,2458.811,1836.148
BR,2036,228017.728,0.251,2441.347,1870.724
BR,2037,228590.35,0.225,2420.586,1906.557
BR,2038,229106.384,0.197,2392.743,1942.145
BR,2039,229558.98,0.175,2377.762,1978.203
BR,2040,229960.529,0.149,2355.165,2013.64
BR,2041,230304.057,0.122,2328.341,2049.471
BR,2042,230584.925,0.095,2302.153,2084.393
BR,2043,230804.686,0.071,2280.959,2119.445
BR,2044,230968.204,0.051,2269.884,2153.486
BR,2045,231086.612,0.031,2258.558,2188.78
BR,2046,231158.391,0.009,2240.634,2220.925
BR,2047,231180.088,-0.01,2228.143,2252.534
BR,2048,231157.699,-0.029,2214.94,2283.457
BR,2049,231091.182,-0.052,2191.426,2312.487
BR,2050,230972.116,-0.075,2167.16,2341.944
BR,2051,230799.334,-0.095,2149.732,2371.04
BR,2052,230580.027,-0.112,2138.139,2397.64
BR,2053,230322.518,-0.13,2123.464,2424.667
BR,2054,230023.326,-0.151,2101.535,2451.408
BR,2055,229675.456,-0.171,2083.111,2476.873
BR,2056,229283.694,-0.194,2056.2,2502.815
BR,2057,228839.071,-0.21,2047.993,2529.109
BR,2058,228359.954,-0.226,2035.87,2553.743
BR,2059,227844.085,-0.249,2009.141,2578.891
BR,2060,227276.325,-0.263,2004.75,2604.657
BR,2061,226678.431,-0.282,1987.828,2628.697
BR,2062,226039.558,-0.299,1976.008,2653.894
BR,2063,225363.667,-0.318,1962.641,2679.426
BR,2064,224648.889,-0.338,1945.614,2705.976
BR,2065,223890.526,-0.358,1929.281,2731.113
BR,2066,223090.695,-0.377,1914.23,2756.669
BR,2067,222250.248,-0.396,1899.56,2780.732
BR,2068,221371.078,-0.417,1880.464,2803.509
BR,2069,220450.039,-0.433,1869.986,2823.647
BR,2070,219498.362,-0.448,1858.229,2842.432
BR,2071,218516.158,-0.463,1847.477,2859.892
BR,2072,217505.746,-0.484,1822.586,2874.365
BR,2073,216455.975,-0.5,1804.73,2886.007
BR,2074,215376.703,-0.512,1792.652,2894.732
BR,2075,214276.608,-0.524,1778.248,2900.828
BR,2076,213156.036,-0.533,1768.915,2904.68
BR,2077,212022.275,-0.545,1751.949,2907.082
BR,2078,210869.14,-0.553,1741.618,2905.791
BR,2079,209706.964,-0.561,1729.747,2905.381
BR,2080,208533.333,-0.571,1710.616,2900.027
BR,2081,207345.921,-0.578,1696.777,2893.028
BR,2082,206151.664,-0.583,1683.519,2883.533
BR,2083,204953.659,-0.584,1679.507,2875.467
BR,2084,203759.693,-0.591,1664.257,2867.11
BR,2085,202558.847,-0.594,1651.24,2853.666
BR,2086,201358.415,-0.595,1644.893,2841.577
BR,2087,200163.734,-0.599,1629.104,2826.837
BR,2088,198967.996,-0.599,1621.6,2811.163
BR,2089,197780.446,-0.601,1610.211,2797.243
BR,2090,196595.398,-0.604,1593.193,2779.638
BR,2091,195410.952,-0.605,1581.432,2761.744
BR,2092,194232.645,-0.604,1571.849,2744.346
BR,2093,193062.155,-0.604,1562.273,2727.667
BR,2094,191898.75,-0.604,1549.815,2706.82
BR,2095,190743.748,-0.605,1537.306,2690.019
BR,2096,189593.037,-0.6,1535.518,2672.302
BR,2097,188458.254,-0.598,1525.664,2650.847
BR,2098,187335.075,-0.6,1511.201,2633.263
BR,2099,186215.005,-0.599,1498.342,2613.349
BR,2100,185102.004,-0.601,1483.297,2594.119
RU,1950,101800.621,1.52,2949.129,1315.664
RU,1951,103359.593,1.521,2989.979,1315.214
RU,1952,104943.767,1.6,3006.122,1200.385
RU,1953,106636.323,1.594,3010.43,1153.23
RU,1954,108349.935,1.595,3015.428,1107.831
RU,1955,110092.202,1.585,2974.556,1021.23
RU,1956,111851.503,1.652,2933.831,842.785
RU,1957,113715.155,1.529,2920.651,900.903
RU,1958,115466.836,1.558,2916.453,836.321
RU,1959,117280.467,1.349,2854.156,934.02
RU,1960,118873.213,1.44,2795.172,909.975
RU,1961,120596.977,1.338,2689.712,921.847
RU,1962,122220.98,1.129,2546.485,963.298
RU,1963,123608.229,0.997,2373.736,949.893
RU,1964,124847.221,0.872,2186.853,927.467
RU,1965,125941.25,0.727,2049.803,976.199
RU,1966,126859.964,0.682,1966.519,993.559
RU,1967,127727.933,0.599,1900.026,1034.803
RU,1968,128495.52,0.507,1868.349,1064.762
