iso2c,country,year,FP.CPI.TOTL.ZG,FR.INR.RINR,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NY.GNS.ICTR.ZS,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.PP.CD,SP.DYN.LE00.IN,SL.TLF.CACT.FE.ZS,SG.GEN.PARL.ZS,SP.ADO.TFRT,SH.DYN.MORT,SH.STA.MMRT,SI.POV.DDAY,SE.XPD.TOTL.GD.ZS,EG.ELC.ACCS.ZS,EN.ATM.CO2E.PC,EG.USE.ELEC.KH.PC,EG.FEC.RNEW.ZS,SP.POP.GROW,SP.RUR.TOTL.ZS,SP.URB.TOTL.IN.ZS
BR,Brazil,1960,NA,NA,NA,17.5232269408406,NA,NA,NA,54.143,NA,NA,89.8818,169.8,NA,NA,NA,NA,NA,NA,NA,NA,53.861,46.139
BR,Brazil,1961,NA,NA,NA,18.8354665120659,NA,NA,NA,54.634,NA,NA,89.7404,165.2,NA,NA,NA,NA,NA,NA,NA,2.91111370045392,52.878,47.122
BR,Brazil,1962,NA,NA,NA,20.3126738423307,NA,NA,NA,55.13,NA,NA,89.599,160.7,NA,NA,NA,NA,NA,NA,NA,2.92144928229548,51.901,48.099
BR,Brazil,1963,NA,NA,NA,19.0396965842808,NA,NA,NA,55.627,NA,NA,88.102,156.5,NA,NA,NA,NA,NA,NA,NA,2.90877868324164,50.922,49.078
BR,Brazil,1964,NA,NA,NA,18.8226041657334,NA,NA,NA,56.121,NA,NA,86.605,152.7,NA,NA,NA,NA,NA,NA,NA,2.86802049596373,49.941,50.059
BR,Brazil,1965,NA,NA,NA,19.4218502397387,NA,NA,NA,56.61,NA,NA,85.108,149.2,NA,NA,NA,NA,NA,NA,NA,2.80848866043068,48.963,51.037
BR,Brazil,1966,NA,NA,NA,19.0343850340575,NA,NA,NA,57.091,NA,NA,83.611,146,NA,NA,NA,NA,NA,NA,NA,2.74810990893136,47.984,52.016
BR,Brazil,1967,NA,NA,NA,16.6495536472918,NA,NA,NA,57.563,NA,NA,82.114,142.8,NA,NA,NA,NA,NA,NA,NA,2.69317123492541,47.007,52.993
BR,Brazil,1968,NA,NA,NA,18.8871335395952,NA,NA,NA,58.025,NA,NA,80.4488,139.7,NA,NA,NA,NA,NA,NA,NA,2.63576054493739,46.03,53.97
BR,Brazil,1969,NA,NA,NA,22.5249333862905,NA,NA,NA,58.475,NA,NA,78.7836,136.5,NA,NA,NA,NA,NA,NA,NA,2.57697928416231,45.06,54.94
BR,Brazil,1970,NA,NA,NA,20.5420007091554,NA,NA,NA,58.911,NA,NA,77.1184,133.1,NA,NA,NA,NA,NA,NA,NA,2.51973259689862,44.091,55.909
BR,Brazil,1971,NA,NA,NA,21.2625148787298,NA,NA,NA,59.332,NA,NA,75.4532,129.7,NA,NA,NA,NA,NA,459.885653003775,NA,2.46088206594157,43.106,56.894
BR,Brazil,1972,NA,NA,NA,21.2085471898153,NA,NA,NA,59.739,NA,NA,73.788,126.3,NA,NA,NA,NA,NA,499.041712532827,NA,2.40858112371131,42.121,57.879
BR,Brazil,1973,NA,NA,NA,22.0447346391829,NA,NA,NA,60.132,NA,NA,73.808,122.9,NA,NA,NA,NA,NA,554.628192626451,NA,2.37505943317405,41.145,58.855
BR,Brazil,1974,NA,NA,NA,24.3114640242604,NA,NA,NA,60.513,NA,NA,73.828,119.5,NA,NA,NA,NA,NA,604.978542195685,NA,2.36445952740343,40.174,59.826
BR,Brazil,1975,NA,NA,NA,25.6975921331099,20.6224312680419,NA,NA,60.884,NA,NA,73.848,116.1,NA,NA,NA,NA,NA,651.496640773785,NA,2.36891744853887,39.211,60.789
BR,Brazil,1976,NA,NA,NA,23.0421198404484,19.1629845442635,NA,NA,61.243,NA,NA,73.868,112.6,NA,NA,NA,NA,NA,722.081419776129,NA,2.37305987696124,38.255,61.745
BR,Brazil,1977,NA,NA,NA,22.0475188520747,19.7638680036014,NA,NA,61.595,NA,NA,73.888,108.9,NA,NA,NA,NA,NA,790.221838852917,NA,2.37117800852022,37.311,62.689
BR,Brazil,1978,NA,NA,NA,23.0331267356395,19.5403652959114,NA,NA,61.942,NA,NA,75.0802,104.9,NA,NA,NA,NA,NA,860.302326006832,NA,2.36953021776687,36.375,63.625
BR,Brazil,1979,NA,NA,NA,23.1379277243404,18.3213623473092,NA,NA,62.286,NA,NA,76.2724,100.7,NA,NA,NA,NA,NA,941.699146744529,NA,2.36685648546638,35.449,64.551
BR,Brazil,1980,NA,NA,NA,23.1135062558596,17.6895792865625,NA,NA,62.63,NA,NA,77.4646,96.3,NA,NA,NA,NA,NA,1016.65358510081,NA,2.36048298160519,34.532,65.468
BR,Brazil,1981,101.725072957927,NA,NA,23.580302746211,19.0398040162808,NA,NA,62.976,NA,NA,78.6568,91.9,NA,23.9,NA,NA,NA,1021.54783486168,NA,2.35519271179313,33.63,66.37
BR,Brazil,1982,100.54335919485,NA,NA,21.8998565393313,15.8778074688358,NA,NA,63.326,NA,NA,79.849,87.7,NA,24.4,NA,NA,NA,1055.95076589237,NA,2.3418599871497,32.738,67.262
BR,Brazil,1983,135.027682230472,NA,NA,17.8825127668248,14.2758169983001,NA,NA,63.68,NA,NA,80.2314,83.8,NA,30.6,NA,NA,NA,1111.75216242806,NA,2.3056508784628,31.858,68.142
BR,Brazil,1984,192.121733132051,NA,NA,17.4692254111657,17.4886787327515,NA,NA,64.039,NA,NA,80.6138,80.3,NA,29.9,NA,NA,NA,1208.62431197938,NA,2.24179825511662,30.99,69.01
BR,Brazil,1985,225.989665211895,NA,NA,20.299093219092,20.1974817258784,NA,NA,64.406,NA,NA,80.9962,77,NA,25.8,NA,NA,NA,1283.05434530279,NA,2.1599430128608,30.138,69.862
BR,Brazil,1986,147.142826237605,NA,NA,19.9608396615159,17.9073822987826,NA,NA,64.782,NA,NA,81.3786,74,NA,12.3,NA,NA,NA,1354.5034366536,NA,2.07396482803476,29.297,70.703
BR,Brazil,1987,228.336162575513,NA,NA,23.1736016647865,22.6652092275111,NA,NA,65.165,NA,NA,81.761,71.2,NA,19.9,NA,NA,NA,1368.10847340331,NA,1.99482299617363,28.471,71.529
BR,Brazil,1988,629.114509120897,NA,NA,24.3442266859346,25.6592870170912,NA,NA,65.553,NA,NA,82.1542,68.5,NA,22.4,NA,NA,NA,1419.63059234372,NA,1.92323343061383,27.658,72.342
BR,Brazil,1989,1430.7237251472,NA,NA,26.9027870382664,35.8187272597223,NA,NA,65.947,NA,NA,82.5474,65.8,NA,20.4,NA,NA,NA,1449.93137178757,NA,1.86295843597935,26.861,73.139
BR,Brazil,1990,2947.73277248299,NA,NA,20.1677089633283,18.9527912240979,6693.59288079069,6520,66.343,41.3839988708496,NA,82.9406,63.1,NA,24,NA,87.475116,1.32815917239375,1460.76032918079,49.8646749269456,1.81151883766468,26.078,73.922
BR,Brazil,1991,432.786661926461,NA,6.31400012969971,19.7687691068786,18.7328827519476,6869.44971000108,6720,66.742,41.4609985351563,NA,83.3338,60.4,NA,NA,NA,90.6065444946289,1.35497989103147,1486.22460959873,48.9381684945205,1.75941419381772,25.31,74.69
BR,Brazil,1992,951.962053052818,NA,6.42000007629395,18.9345408984019,20.1983926234314,6869.47954437517,6740,67.141,42.701000213623,NA,83.727,57.4,NA,23.3,NA,88.803833,1.34753554244111,1494.06147627377,48.7011826727019,1.70733923298647,24.556,75.444
BR,Brazil,1993,1927.38079016026,NA,6.03000020980835,20.8463552334012,20.2543568169101,7256.80191007946,7080,67.539,43.9469985961914,NA,83.834,54.3,NA,22.1,NA,89.999927,1.37240200430623,1537.59263856979,48.199088014585,1.66486231216782,23.819,76.181
BR,Brazil,1994,2075.88839757325,NA,6.16900014877319,22.1455629464805,21.2903605322723,7718.42782231049,7590,67.932,45.2000007629395,NA,83.941,51.1,NA,NA,NA,91.8837280273438,1.39557303034609,1566.76123132243,48.3500085183815,1.6337888839804,23.097,76.903
BR,Brazil,1995,66.0070335542481,NA,6.42000007629395,17.2923463468196,14.4393625440584,8081.97308827582,7970,68.318,46.4580001831055,NA,84.048,48,NA,14.7,4.56816005706787,91.728598,1.48919988458948,1634.3981077533,46.1343566508084,1.60971030654546,22.39,77.61
BR,Brazil,1996,15.7576656002606,NA,7.25,17.2669463783506,14.0413210171264,8279.14704427016,8170,68.695,45.2350006103516,NA,84.155,45,NA,16,NA,92.867095,1.59408624316997,1687.08523824139,44.5328823904229,1.58883830194468,21.698,78.302
